Comment,Description,Designator,Footprint,LibRef,Quantity

"C914881","Description","C1","CAP_CC1210_YAG","CC1210KKX7R7BB226","1"
"C541465","10000 pF ±5% 25V Ceramic Capacitor X7R 0402 (1005 Metric)","C2","CAPC1005X55N","CC0402JRX7R8BB103","1"
"C2900372","Infrared (IR) Emitter 950nm 1.5V 100mA 550mW/sr @ 100mA 10° Radial","D1","DIO_SFH_4545","SFH_4545","1"
"C118301","Phototransistors 925nm Top View Radial, 3mm Dia (T-1)","Q1","XDCR_TEFT4300","TEFT4300","1"
"C2830301","MOSFET N-Channel 20V 0.63A SOT523","Q2","SOT50P160X90-3N","DMG1012T-7","1"
"C865639","5.6 Ohm 1/4W Thick Film Resistor 1206 Chip - Surface Mount","R1","RESC2012X60N","RT0805BRD07510RL","1"
"C705627","RT Series 0402 0.063 W 24 kOhm ±1 % ±50 ppm/°C SMT Thin Film Chip Resistor","R2","RESC1005X35N","RT0402FRE0724KL","1"
"C281778","RT Series 0402 0.063 W 24 kOhm ±1 % ±50 ppm/°C SMT Thin Film Chip Resistor","R3","RESC1005X35N","RT0402FRE0724KL","1"
"C17970","5.6 Ohm 1/4W Thick Film Resistor 1206 Chip - Surface Mount","R4","RESC3115X65N","1206W4F560KT5E","1"
