Comment,Description,Designator,Footprint,LibRef,Quantity

"IR Holder","","","IR Holder","IR Holder","6"
"C426639","10000 pF ±5% 25V Ceramic Capacitor X7R 0402 (1005 Metric)","C1, C13","CAPC1005X55N","CC0402JRX7R8BB103","2"
"C541465","10000 pF ±5% 25V Ceramic Capacitor X7R 0402 (1005 Metric)","C2, C3, C7, C8, C9, C10, C11, C12, C14, C15, C16, C19, C20, C21, C22, C24, C28, C30, C31, C32, C33, C34, C35","CAPC1005X55N","CC0402JRX7R8BB103","23"
"C914881","Description","C4, C23, C27","CAP_CC1210_YAG","CC1210KKX7R7BB226","3"
"C326595","Description","C5, C6, C26","CAP_CC0805_YAG","CC0805KKX7R7BB106","3"
"C541443","10000 pF ±5% 25V Ceramic Capacitor X7R 0402 (1005 Metric)","C17, C18, C36, C37","CAPC1005X55N","CC0402JRX7R8BB103","4"
"C527004","10000 pF ±5% 25V Ceramic Capacitor X7R 0402 (1005 Metric)","C25","CAPC1005X55N","CC0402JRX7R8BB103","1"
"C97502","2-channel ESD solution for SuperSpeed USB 3.0 interface 3-SOT-9X3 -40 to 85","D1","SOTFL35P100X50-3N","TPD2EUSB30DRTR","1"
"C12624","LED SMD 0603 Ultra Yellow 593nm 70mcd Water Clear Lens 130 Deg Viewing Angle","D2","LED_SM0603UYC","SM0603UYC","1"
"C125095","LED SMD 0603 Ultra Yellow 593nm 70mcd Water Clear Lens 130 Deg Viewing Angle","D3","LED_SM0603UYC","SM0603UYC","1"
"C965799","LED SMD 0603 Ultra Yellow 593nm 70mcd Water Clear Lens 130 Deg Viewing Angle","D4","LED_SM0603UYC","SM0603UYC","1"
"C94135","Infrared Emitter 940nm 36mW/sr Circular Top Mount 2-Pin T-1 Bulk","D5, D6, D7, D8, D9, D10","LEDRD254W45D335H610","TSAL4400","6"
"C7095263","USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Through Hole, Right Angle, low cost, 3.46mm profile, 16 pin, horizontal, Top mount","J1","GCT_USB4085-GF-A_REVA4","USB4085-GF-A_REVA4","1"
"C158012","","J2","JST_B2B-XH-A","B2B-XH-A","1"
"C495540","","J3, J4","JST-SH6","JST-SH6","2"
"C40877","","P4, P5, P6","FHDR1X6","FHeader 6X1","3"
"C118301","Phototransistors 925nm Top View Radial, 3mm Dia (T-1)","Q1, Q2, Q3, Q4, Q10, Q11","XDCR_TEFT4300","TEFT4300","6"
"C20917","N-Channel 30 V 5.7A (Ta) 1.4W (Ta) Surface Mount SOT-23-3","Q5, Q6, Q7, Q8, Q12, Q13","SOT95P280X125-3N","AO3400A","6"
"C51499","P-Channel 40 V 10A (Ta) 1.7W (Ta) Surface Mount 8-SOIC","Q9","SOIC127P600X175-8N","AO4485","1"
"C190095","RT Series 0402 0.063 W 24 kOhm ±1 % ±50 ppm/°C SMT Thin Film Chip Resistor","R1, R6, R9, R15, R26, R43, R44, R45, R46, R52, R53","RESC1005X35N","RT0402FRE0724KL","11"
"C851064","RT Series 0402 0.063 W 24 kOhm ±1 % ±50 ppm/°C SMT Thin Film Chip Resistor","R2, R3","RESC1005X35N","RT0402FRE0724KL","2"
"C853263","RT Series 0402 0.063 W 24 kOhm ±1 % ±50 ppm/°C SMT Thin Film Chip Resistor","R4, R12","RESC1005X35N","RT0402FRE0724KL","2"
"C513664","RT Series 0402 0.063 W 24 kOhm ±1 % ±50 ppm/°C SMT Thin Film Chip Resistor","R5, R10, R17, R18, R54, R55","RESC1005X35N","RT0402FRE0724KL","6"
"C853143","RT Series 0402 0.063 W 24 kOhm ±1 % ±50 ppm/°C SMT Thin Film Chip Resistor","R7, R8, R16, R31, R33, R35, R37, R48","RESC1005X35N","RT0402FRE0724KL","8"
"C852752","RT Series 0402 0.063 W 24 kOhm ±1 % ±50 ppm/°C SMT Thin Film Chip Resistor","R11","RESC1005X35N","RT0402FRE0724KL","1"
"C852886","RT Series 0402 0.063 W 24 kOhm ±1 % ±50 ppm/°C SMT Thin Film Chip Resistor","R13, R14","RESC1005X35N","RT0402FRE0724KL","2"
"C281774","RT Series 0402 0.063 W 24 kOhm ±1 % ±50 ppm/°C SMT Thin Film Chip Resistor","R19","RESC1005X35N","RT0402FRE0724KL","1"
"C281778","RT Series 0402 0.063 W 24 kOhm ±1 % ±50 ppm/°C SMT Thin Film Chip Resistor","R20, R27, R30","RESC1005X35N","RT0402FRE0724KL","3"
"C705627","RT Series 0402 0.063 W 24 kOhm ±1 % ±50 ppm/°C SMT Thin Film Chip Resistor","R21, R23, R39, R40, R41, R42, R50, R51","RESC1005X35N","RT0402FRE0724KL","8"
"C850993","RT Series 0402 0.063 W 24 kOhm ±1 % ±50 ppm/°C SMT Thin Film Chip Resistor","R22, R24, R32, R34, R36, R38, R47, R49","RESC1005X35N","RT0402FRE0724KL","8"
"C136979","RT Series 0402 0.063 W 24 kOhm ±1 % ±50 ppm/°C SMT Thin Film Chip Resistor","R25, R29","RESC1005X35N","RT0402FRE0724KL","2"
"C728561","RT Series 0402 0.063 W 24 kOhm ±1 % ±50 ppm/°C SMT Thin Film Chip Resistor","R28","RESC1005X35N","RT0402FRE0724KL","1"
"C72443","Switch Tactile N.O. SPST Button Gull Wing 0.05A 32VDC 1VA 200000Cycles 2N SMD Automotive T/R","S1, S2, S3","SW_KMR221GLFS","KMR221GLFS","3"
"C3664642","Slide Switch SPDT Surface Mount, Right Angle","S4","SW_EG1215AA","EG1215AA","1"
"C1855818","40-V, 6-A H-bridge motor driver with integrated current sensing feedback","U1, U3","SOP65P640X120-17N","DRV8874PWPR","2"
"C2913206","","U2","XCVR_ESP32-S3-MINI-1-N8","ESP32-S3-MINI-1-N8","1"
"C163210","Non-Isolated PoL Module DC DC Converter 1 Output 0.9 ~ 5V - - - 3A 3V - 17V Input","U4","CONV_TPS82140SILR","TPS82130SILT","1"
"C22459454","Accelerometer, Gyroscope, 6 Axis Sensor Output","U5","PQFN50P300X250X97-14N","ICM-45686","1"
"C232862","Reflective Optical Sensor 0.039 (1mm) 4-SMD, Gull Wing","U6, U7","SOIC180P460X187-4N","QRE1113GR","2"
"C140277","","U9","QFN50P400X400X80-25N","TCA9555RTWR","1"
