Altium Designer Pick and Place Locations
C:\Users\Administrator\Desktop\Cosas\GCMProyectoLimpio\GCM\GCMV1\GCMPlaca\Project Outputs for GCMPlaca\Pick Place\Pick Place for GCM_PCB.csv

========================================================================================================================
File Design Information:

Date:       16/09/26
Time:       07:56
Revision:   2905e7e968cdf00ab3d926075f45a0f5453ea51d
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"IR6","IR PCB","TopLayer","IR_Board_pins","81,9500mm","60,6800mm","90",""
"IR5","IR PCB","TopLayer","IR_Board_pins","66,4900mm","77,2200mm","0",""
"IR4","IR PCB","TopLayer","IR_Board_pins","56,2785mm","85,1051mm","32,5",""
"IR3","IR PCB","TopLayer","IR_Board_pins","41,7215mm","85,1051mm","147,5",""
"IR2","IR PCB","TopLayer","IR_Board_pins","31,5100mm","77,2200mm","180",""
"IR1","IR PCB","TopLayer","IR_Board_pins","16,0500mm","60,6800mm","90",""
"S4","C431540","TopLayer","SW_MSK12C02","33,2330mm","2,6957mm","0",""
"P3","C40877","TopLayer","FHDR1X6","90,5000mm","63,8500mm","270",""
"P1","C40877","TopLayer","FHDR1X6","7,5000mm","63,8500mm","90",""
"P2","C40877","TopLayer","FHDR1X6","49,0000mm","94,5000mm","0",""
"D12","C12624","TopLayer","LED_SM0603UYC","72,6500mm","7,9500mm","0","LED SMD 0603 Ultra Yellow 593nm 70mcd Water Clear Lens 130 Deg Viewing Angle"
"D11","C2987539","TopLayer","LED_SM0603UYC","28,0800mm","2,3930mm","90","LED SMD 0603 Ultra Yellow 593nm 70mcd Water Clear Lens 130 Deg Viewing Angle"
"D4","C965799","TopLayer","LED_SM0603UYC","59,0940mm","2,3900mm","90","LED SMD 0603 Ultra Yellow 593nm 70mcd Water Clear Lens 130 Deg Viewing Angle"
"D3","C965799","TopLayer","LED_SM0603UYC","57,5200mm","2,3900mm","90","LED SMD 0603 Ultra Yellow 593nm 70mcd Water Clear Lens 130 Deg Viewing Angle"
